date,s&p500,dividend,earnings,cpi,bondInterest
1894-10,4.34,0.22,0.18,6.660,3.520
1894-11,4.34,0.21,0.17,6.660,3.500
1894-12,4.30,0.21,0.16,6.565,3.480
1895-01,4.25,0.21,0.17,6.565,3.460
1895-02,4.19,0.21,0.18,6.565,3.472
1895-03,4.19,0.21,0.18,6.565,3.483
1895-04,4.37,0.20,0.19,6.850,3.495
1895-05,4.61,0.20,0.20,6.946,3.507
1895-06,4.70,0.20,0.21,7.041,3.518
1895-07,4.72,0.20,0.21,6.946,3.530
1895-08,4.79,0.20,0.22,6.850,3.542
1895-09,4.82,0.20,0.23,6.850,3.553
1895-10,4.75,0.19,0.24,6.850,3.565
1895-11,4.59,0.19,0.24,6.850,3.577
1895-12,4.32,0.19,0.25,6.755,3.588
1896-01,4.27,0.19,0.25,6.660,3.600
1896-02,4.45,0.19,0.24,6.565,3.583
1896-03,4.38,0.19,0.24,6.565,3.567
1896-04,4.42,0.19,0.24,6.470,3.550
1896-05,4.40,0.19,0.23,6.375,3.533
1896-06,4.32,0.19,0.23,6.280,3.517
1896-07,4.04,0.18,0.23,6.280,3.500
1896-08,3.81,0.18,0.22,6.280,3.483
1896-09,4.01,0.18,0.22,6.280,3.467
1896-10,4.10,0.18,0.22,6.470,3.450
1896-11,4.38,0.18,0.21,6.660,3.433
1896-12,4.22,0.18,0.21,6.660,3.417
1897-01,4.22,0.18,0.22,6.470,3.400
1897-02,4.18,0.18,0.23,6.470,3.396
1897-03,4.19,0.18,0.24,6.470,3.392
1897-04,4.06,0.18,0.24,6.375,3.388
1897-05,4.08,0.18,0.25,6.280,3.383
1897-06,4.27,0.18,0.26,6.280,3.379
1897-07,4.46,0.18,0.27,6.280,3.375
1897-08,4.75,0.18,0.28,6.565,3.371
1897-09,4.98,0.18,0.29,6.755,3.367
1897-10,4.82,0.18,0.29,6.660,3.363
1897-11,4.65,0.18,0.30,6.660,3.358
1897-12,4.75,0.18,0.31,6.660,3.354
1898-01,4.88,0.18,0.31,6.660,3.350
1898-02,4.87,0.18,0.32,6.755,3.329
1898-03,4.65,0.19,0.32,6.755,3.308
1898-04,4.57,0.19,0.32,6.755,3.288
1898-05,4.87,0.19,0.33,7.231,3.267
1898-06,5.06,0.19,0.33,6.755,3.246
1898-07,5.08,0.19,0.33,6.660,3.225
1898-08,5.27,0.19,0.34,6.660,3.204
1898-09,5.26,0.20,0.34,6.660,3.183
1898-10,5.15,0.20,0.34,6.660,3.163
1898-11,5.32,0.20,0.35,6.660,3.142
1898-12,5.65,0.20,0.35,6.755,3.121
1899-01,6.08,0.20,0.36,6.755,3.100
1899-02,6.31,0.20,0.37,6.946,3.104
1899-03,6.40,0.20,0.38,6.946,3.108
1899-04,6.48,0.20,0.39,7.041,3.113
1899-05,6.21,0.20,0.40,7.041,3.117
1899-06,6.07,0.21,0.42,7.136,3.121
1899-07,6.28,0.21,0.43,7.231,3.125
1899-08,6.44,0.21,0.44,7.326,3.129
1899-09,6.37,0.21,0.45,7.612,3.133
1899-10,6.34,0.21,0.46,7.707,3.138
1899-11,6.46,0.21,0.47,7.802,3.142
1899-12,6.02,0.21,0.48,7.897,3.146
1900-01,6.10,0.22,0.48,7.897,3.150
1900-02,6.21,0.23,0.48,7.992,3.146
1900-03,6.26,0.23,0.48,7.992,3.142
1900-04,6.34,0.24,0.48,7.992,3.138
1900-05,6.04,0.25,0.48,7.802,3.133
1900-06,5.86,0.26,0.48,7.707,3.129
1900-07,5.86,0.26,0.48,7.802,3.125
1900-08,5.94,0.27,0.48,7.707,3.121
1900-09,5.80,0.28,0.48,7.802,3.117
1900-10,6.01,0.29,0.48,7.707,3.113
1900-11,6.48,0.29,0.48,7.707,3.108
1900-12,6.87,0.30,0.48,7.612,3.104
1901-01,7.07,0.30,0.48,7.707,3.100
1901-02,7.25,0.30,0.48,7.612,3.107
1901-03,7.51,0.31,0.49,7.612,3.113
1901-04,8.14,0.31,0.49,7.517,3.120
1901-05,7.73,0.31,0.49,7.517,3.127
1901-06,8.50,0.31,0.49,7.517,3.133
1901-07,7.93,0.31,0.49,7.612,3.140
1901-08,8.04,0.31,0.49,7.707,3.147
1901-09,8.00,0.32,0.50,7.802,3.153
1901-10,7.91,0.32,0.50,7.802,3.160
1901-11,8.08,0.32,0.50,7.897,3.167
1901-12,7.95,0.32,0.50,7.992,3.173
1902-01,8.12,0.32,0.51,7.897,3.180
1902-02,8.19,0.32,0.52,7.897,3.190
1902-03,8.20,0.32,0.53,7.897,3.200
1902-04,8.48,0.32,0.54,7.992,3.210
1902-05,8.46,0.32,0.55,8.087,3.220
1902-06,8.41,0.33,0.57,8.183,3.230
1902-07,8.60,0.33,0.58,8.183,3.240
1902-08,8.83,0.33,0.59,8.087,3.250
1902-09,8.85,0.33,0.60,8.183,3.260
1902-10,8.57,0.33,0.61,8.753,3.270
1902-11,8.24,0.33,0.62,8.468,3.280
1902-12,8.05,0.33,0.63,8.563,3.290
